SampleID	chao1	shannon	observed_species	PD_whole_tree
100142	192.5882353	4.407415052	129	15.50644
100145	363.8125	5.940343108	195	15.65206
100148	252	3.916847323	126	10.25288
100151	307.5714286	3.330721183	125	9.44898
100154	293.2857143	6.480447971	209	18.202
100157	463.525	6.112731141	279	23.294
100160	325.4285714	5.18853364	121	9.71566
100163	211	5.04447154	92	9.98345
100166	161.5	4.397491287	119	13.93184
100169	250.3636364	5.414808407	139	14.39177
100177	382.6666667	5.089973665	126	12.56874
100180	117.8571429	3.172408154	75	8.40986
100183	252.3333333	4.151891541	124	12.46363
100186	283.5	0.635312964	71	6.75467
100189	158.1111111	4.347538576	103	12.31335
100195	118.25	4.232124543	71	7.89321
100356	496.483871	5.667734535	270	22.08597
100365	310	5.36630282	114	11.8916
100368	243.2352941	3.3237931	132	15.33281
100371	151.5	3.463741673	99	11.04321
100374	88.25	1.263888197	59	7.26564
100383	294.3529412	4.346776809	144	15.09881
100390	98.66666667	1.382965151	68	8.90242
100396	476.05	1.44777039	154	12.38668
100399	342.7142857	4.213624211	206	22.2183
100426	81.8125	1.446202087	66	8.6525
101141	390	5.418556721	212	20.84612
101477	474.1875	4.877948605	232	24.75979
101509	457.875	5.512882889	156	14.04318
101525	1079.308824	7.267074444	509	42.41242
101573	1470	5.932388966	194	18.265
101650	753.6842105	6.191631218	325	28.54882
101692	1214.375	4.906007231	326	23.07678
101739	446.5652174	5.747416427	227	21.47502
101764	665.53125	5.051399755	258	20.04149
101778	565.5172414	4.418992089	230	23.85612