Taxon	100396	101692	101525	101650	100183	101764	101573	101778	100169	100142	101509	100356	100399	100186	100160	100374	101739	101477	100383	101141	100368	100177	100157	100145	100148	100154	100195	100166	100163	100180	100151	100426	100371	100365	100189	100390
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae	0.0008	0.0036	0.0056	0.0204	0.038	0.0012	0.012	0.006	0.0	0.0068	0.0044	0.0108	0.0048	0.0	0.0	0.0012	0.0112	0.008	0.0	0.0048	0.0144	0.0056	0.002	0.0	0.0	0.0	0.0316	0.0348	0.0	0.012	0.0	0.0008	0.0108	0.0	0.0108	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae	0.0404	0.1336	0.0656	0.2404	0.0112	0.244	0.0276	0.0416	0.0308	0.0284	0.0404	0.0392	0.0752	0.002	0.046	0.0056	0.0964	0.0268	0.1168	0.0696	0.074	0.0144	0.0244	0.0404	0.0204	0.0436	0.0148	0.0264	0.0396	0.2888	0.0	0.82	0.0092	0.092	0.0748	0.0684
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae	0.0	0.0108	0.0052	0.0016	0.1912	0.0236	0.008	0.2512	0.08	0.0084	0.0	0.0472	0.0228	0.0012	0.0296	0.0	0.0108	0.0816	0.0152	0.0164	0.0068	0.0324	0.0164	0.038	0.0024	0.0284	0.0	0.152	0.0	0.0136	0.0088	0.0016	0.0316	0.028	0.004	0.0056
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Other	0.0028	0.0108	0.0068	0.006	0.004	0.0108	0.0328	0.0048	0.0176	0.0364	0.0	0.01	0.0072	0.0	0.0004	0.0	0.0236	0.0052	0.0132	0.0328	0.0028	0.006	0.0136	0.034	0.0032	0.0848	0.0044	0.0036	0.018	0.0004	0.0	0.002	0.0004	0.0396	0.0076	0.0008
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	0.0004	0.0	0.0736	0.042	0.0	0.0	0.0328	0.0064	0.0	0.0016	0.0	0.0028	0.0	0.0	0.0	0.0	0.0024	0.0012	0.0	0.0072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	0.0	0.0012	0.1628	0.0264	0.0	0.0004	0.1104	0.0004	0.0	0.0	0.0116	0.0012	0.0008	0.0008	0.0	0.0	0.0032	0.0016	0.0024	0.0076	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0012	0.0	0.0	0.0	0.0008	0.0	0.0068	0.0036	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	0.0016	0.0084	0.0196	0.01	0.0024	0.0	0.0176	0.0172	0.0084	0.0016	0.0012	0.0	0.0088	0.0016	0.0	0.0	0.0152	0.0096	0.0024	0.01	0.002	0.054	0.0024	0.0	0.0	0.0	0.0092	0.0044	0.028	0.008	0.0016	0.008	0.0	0.0	0.0	0.0032
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae	0.0	0.0016	0.0096	0.0004	0.0016	0.0052	0.0	0.0036	0.0332	0.338	0.0224	0.0216	0.0044	0.0012	0.0388	0.026	0.0004	0.004	0.0164	0.0052	0.0016	0.0064	0.1424	0.0364	0.1228	0.0208	0.0584	0.0064	0.0076	0.0056	0.0164	0.0	0.0016	0.014	0.0976	0.002
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae	0.9172	0.4448	0.1224	0.062	0.1728	0.1556	0.1632	0.0376	0.1556	0.0664	0.0148	0.158	0.4724	0.9508	0.042	0.004	0.2096	0.1188	0.2716	0.306	0.1824	0.1	0.0524	0.0952	0.0108	0.0408	0.0796	0.2948	0.1256	0.38	0.034	0.0724	0.2216	0.06	0.32	0.8332
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae	0.0	0.0004	0.0024	0.0004	0.0028	0.0056	0.0044	0.0012	0.0	0.0004	0.0152	0.0052	0.0	0.0024	0.0	0.0004	0.002	0.0028	0.0	0.008	0.008	0.0068	0.004	0.002	0.0	0.0016	0.0	0.0	0.0	0.0544	0.0	0.0016	0.0012	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	0.0016	0.0044	0.008	0.0032	0.0004	0.0264	0.014	0.2016	0.0052	0.0	0.0152	0.0044	0.002	0.0	0.0	0.0	0.0188	0.2972	0.05	0.0144	0.0	0.1368	0.0032	0.0	0.0	0.0	0.002	0.0	0.006	0.0	0.004	0.0	0.0052	0.048	0.0	0.002
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	0.0008	0.0636	0.0484	0.0492	0.0532	0.0576	0.0712	0.0568	0.0176	0.0332	0.1084	0.202	0.0244	0.0016	0.0536	0.0116	0.0516	0.1764	0.0104	0.0196	0.0424	0.0816	0.0052	0.0008	0.0112	0.0152	0.0444	0.0068	0.0808	0.052	0.0188	0.0096	0.0432	0.03	0.0528	0.0076
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	0.0	0.0	0.0012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028	0.002	0.0012	0.0	0.0	0.0	0.0092	0.0	0.0	0.0056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0056	0.0004	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XI	0.0036	0.1028	0.0188	0.182	0.0008	0.0084	0.0264	0.0184	0.0	0.0088	0.0012	0.0072	0.0368	0.0004	0.0	0.0016	0.082	0.0484	0.0084	0.0512	0.0488	0.0064	0.0004	0.0	0.0032	0.0152	0.0208	0.0376	0.0	0.0	0.004	0.012	0.032	0.0	0.01	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	0.0	0.0036	0.0208	0.0608	0.0012	0.0	0.0032	0.002	0.0	0.004	0.0	0.01	0.0012	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0012	0.0	0.0032	0.0	0.0	0.002	0.0	0.0036	0.0	0.0	0.0	0.0	0.0028	0.0104	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Other	0.0016	0.01	0.0256	0.032	0.0	0.0	0.0132	0.002	0.0	0.0	0.0072	0.0012	0.0016	0.0	0.0	0.0	0.0116	0.0	0.0	0.0024	0.0012	0.0	0.0004	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0004	0.0	0.0	0.0	0.0036	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae	0.0	0.0088	0.006	0.0168	0.0208	0.0008	0.012	0.0076	0.0	0.0028	0.0196	0.0084	0.0044	0.0	0.0176	0.0	0.014	0.0084	0.0	0.012	0.0108	0.0264	0.004	0.0	0.0	0.0	0.0	0.0	0.0092	0.0036	0.0036	0.0116	0.0048	0.012	0.0016	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	0.0	0.0012	0.0008	0.0008	0.0032	0.0004	0.0	0.0	0.0128	0.0112	0.0004	0.006	0.0124	0.0	0.0	0.0	0.0	0.0032	0.0008	0.0012	0.0	0.002	0.01	0.0096	0.0004	0.042	0.0	0.0036	0.0	0.0	0.0012	0.0	0.0	0.0	0.0068	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	0.0	0.0024	0.0012	0.0012	0.0	0.004	0.0	0.0088	0.0472	0.0044	0.058	0.012	0.0116	0.0	0.0264	0.0124	0.02	0.0028	0.0264	0.0	0.002	0.0068	0.0452	0.0088	0.0172	0.124	0.0112	0.0148	0.0052	0.0	0.0056	0.0012	0.006	0.0392	0.008	0.002
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	0.0	0.0004	0.0028	0.0004	0.0016	0.0	0.0244	0.0012	0.0364	0.0232	0.022	0.0076	0.0068	0.0032	0.1068	0.0	0.0	0.0008	0.0	0.0016	0.0	0.0256	0.0256	0.0092	0.016	0.0356	0.0536	0.018	0.0848	0.0228	0.0104	0.0004	0.002	0.0024	0.0072	0.002
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	0.0008	0.006	0.0088	0.0028	0.058	0.0008	0.024	0.0024	0.1136	0.0284	0.0912	0.0288	0.0088	0.0204	0.164	0.03	0.048	0.0008	0.0032	0.0048	0.0044	0.148	0.0128	0.0684	0.4408	0.0668	0.3424	0.0484	0.166	0.0556	0.0672	0.006	0.0072	0.0496	0.0648	0.0108
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae	0.0004	0.0024	0.0044	0.0008	0.0028	0.0008	0.01	0.002	0.004	0.004	0.0	0.0072	0.0032	0.0004	0.028	0.0004	0.012	0.0044	0.0008	0.0228	0.0032	0.0024	0.0232	0.024	0.0096	0.0156	0.012	0.0024	0.0004	0.0008	0.002	0.0016	0.02	0.0124	0.0068	0.004
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	0.0008	0.0108	0.022	0.0028	0.0112	0.0048	0.0268	0.0028	0.0	0.01	0.0172	0.076	0.0032	0.0004	0.0	0.0004	0.0068	0.0056	0.0	0.0228	0.0036	0.012	0.0004	0.0004	0.0	0.0	0.0004	0.0128	0.0104	0.0	0.0	0.0048	0.0	0.0692	0.0008	0.0016
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	0.0	0.006	0.004	0.002	0.0108	0.0656	0.028	0.0012	0.0724	0.0128	0.0596	0.0144	0.002	0.0004	0.0028	0.0	0.0168	0.0084	0.0036	0.01	0.0292	0.0148	0.0112	0.0612	0.0056	0.004	0.0292	0.0064	0.0	0.0004	0.1808	0.0076	0.0128	0.0212	0.0008	0.0024
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae	0.0	0.0088	0.0276	0.0024	0.0	0.0128	0.0632	0.0044	0.0	0.0	0.1444	0.0	0.0	0.0	0.0	0.0	0.0088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	0.0	0.0028	0.0396	0.0056	0.0268	0.0136	0.048	0.01	0.0072	0.0068	0.066	0.1088	0.0012	0.0	0.044	0.0036	0.0076	0.0148	0.0036	0.008	0.0068	0.0204	0.0	0.004	0.0076	0.0	0.0404	0.0	0.0004	0.0072	0.0	0.0	0.0064	0.0296	0.01	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	0.0028	0.0424	0.09	0.0064	0.0504	0.2656	0.0476	0.2296	0.092	0.174	0.1068	0.0844	0.124	0.002	0.144	0.8824	0.104	0.0732	0.1344	0.1416	0.5104	0.1152	0.1352	0.0472	0.2064	0.0516	0.1224	0.1852	0.0736	0.05	0.5732	0.014	0.4964	0.066	0.104	0.0132
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	0.0008	0.0116	0.0148	0.0004	0.0152	0.0176	0.006	0.0036	0.0524	0.0096	0.0228	0.0224	0.0472	0.0	0.074	0.0036	0.0152	0.0236	0.0136	0.0248	0.0116	0.03	0.0488	0.1308	0.0248	0.0328	0.038	0.0148	0.084	0.0036	0.0092	0.01	0.0168	0.0	0.0092	0.0096
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae	0.0008	0.0032	0.0028	0.0016	0.0028	0.0068	0.0028	0.0016	0.0268	0.0012	0.0	0.01	0.0092	0.0	0.0	0.0	0.0084	0.0008	0.0052	0.0044	0.0	0.0088	0.0056	0.034	0.0012	0.0124	0.0	0.0068	0.0	0.0016	0.0	0.0024	0.0088	0.0004	0.0	0.0
